6464	5	6465	24
10289	9	10290	2
8429	9	8468	1
8147	9	8148	65
3790	4	944	14
9384	9	9385	1
7184	5	7185	0
1757	9	9000	66
10172	9	10173	36
4048	1	4049	38
4061	1	4062	56
9218	9	9219	45
2206	9	8626	56
8297	9	8298	63
4040	1	4041	27
8201	9	10499	64
10357	9	10358	1
8488	9	8489	55
6546	5	7231	22
6755	5	6756	69
2373	9	10541	50
5928	9	9213	29
8276	9	8277	0
5915	3	5228	36
8728	9	8729	13
3534	7	1401	72
2340	5	6449	0
8529	9	8530	5
5952	9	8588	18
2013	9	10274	63
6351	5	6722	8
9220	9	9221	54
8951	9	10449	55
6329	5	6330	31
6331	5	6386	36
6407	5	6408	54
3731	9	8084	64
7934	9	7935	72
6881	5	6882	2
3154	9	9073	41
2378	4	6165	23
9984	9	9985	28
10232	9	10233	12
3399	3	5397	2
2254	9	10606	42
8623	9	8624	27
8431	9	8432	66
1693	9	9282	55
7384	9	7889	45
6727	5	6728	2
8612	9	8613	68
7398	5	7399	28
3753	4	1086	40
10537	9	8113	28
6994	5	6995	58
10201	9	9478	10
9432	9	9433	58
6525	5	6869	0
10399	9	8629	45
7392	5	6918	13
5942	9	9268	17
10486	9	10487	28
3433	9	10524	52
6937	5	6601	41
340	9	10021	23
4122	1	4123	51
2263	0	290	15
2914	1	4201	59
2008	4	3341	29
7006	5	6750	28
10132	9	10133	1
8996	9	8997	15
10197	9	10372	26
2454	0	103	3
9370	9	9371	0
1426	5	6993	55
6383	5	6417	0
6222	9	8550	28
8378	9	8379	67
1054	9	9569	21
6538	5	6539	64
3393	1	3949	68
1346	9	10365	17
6799	7	308	36
7499	9	9401	39
9278	9	10258	30
6053	9	9262	41
7932	9	10434	66
2942	4	2429	52
7420	5	6520	32
2819	9	9548	32
1514	4	1629	54
8855	9	8411	52
8330	9	8331	64
10168	9	10169	6
4103	1	3848	55
6418	5	7096	48
9042	9	9303	53
2197	9	7899	14
7814	8	7674	3
9377	9	9378	64
2834	3	5179	67
1207	0	1004	24
6785	5	6786	1
3558	4	536	65
8571	9	8572	69
8721	9	9019	66
1356	3	5502	41
10100	9	10101	35
8347	9	8484	13
9159	9	9160	21
8505	9	8506	20
9868	9	9869	38
1944	9	10583	9
5965	7	388	59
7408	5	7409	65
8755	9	8756	7
8353	9	8354	54
2102	7	3	22
7086	5	7087	35
6807	5	6907	0
1736	0	529	20
8040	9	10471	44
522	9	7016	68
260	4	1720	55
4562	2	4265	69
3393	1	4006	29
10230	9	10231	56
1988	4	1794	22
6692	5	6374	34
5929	9	9010	15
6499	5	6500	0
2764	3	5503	68
3854	1	3890	28
6493	5	6330	8
3150	4	2211	67
1575	9	8340	29
8206	9	9173	59
3065	0	214	15
181	4	616	19
2208	4	3324	66
2947	9	10349	55
6596	5	6597	0
9149	9	9150	46
3295	9	9063	38
6757	5	6758	7
8412	9	8413	64
7221	5	7222	51
7981	9	7982	40
8721	9	10574	59
8595	9	8596	69
6983	5	6555	70
991	9	10397	61
6413	5	6992	45
10089	9	10090	65
6418	5	7011	51
6148	4	1852	9
1346	9	8943	18
6584	9	10254	1
7954	9	7955	1
7080	5	7081	33
298	9	8838	1
8000	9	8001	71
3644	4	1445	22
10355	9	10356	63
2357	9	8190	54
3516	4	6258	15
4129	1	4130	62
1528	4	1027	71
9147	9	9148	66
8281	9	8282	62
9200	9	9201	64
1824	9	10488	69
6455	5	6456	33
6351	5	6352	9
909	4	2684	64
6947	5	6948	16
811	8	7677	14
9093	9	9094	1
9299	9	9450	68
1486	4	2963	66
943	4	2906	24
2372	4	6107	30
6676	5	7207	0
1523	9	9676	35
4132	1	4133	43
7233	5	7234	48
8264	9	8265	61
9425	9	9426	40
7421	5	7422	0
7156	5	7379	53
8281	9	8813	64
4092	1	4093	70
9725	9	9726	64
7061	5	7062	0
2981	9	9366	12
6591	5	6338	12
913	9	10088	38
7632	9	10052	32
9304	9	9305	21
116	0	67	6
1109	9	10478	51
6473	5	6474	52
5895	9	8750	24
1770	0	605	7
8721	9	9092	50
2970	0	101	19
3891	1	4231	58
9245	9	8881	60
9280	9	9281	39
6426	5	6427	33
8425	9	8426	67
9751	9	9752	68
9007	9	9008	1
1888	9	8080	17
8042	9	8043	50
6546	5	7292	22
3494	0	432	6
5279	3	5198	53
1310	9	9075	61
2777	4	2	33
353	9	8484	10
4958	2	4959	58
9711	9	8920	59
3443	9	8747	56
9153	9	9154	54
3023	9	7991	57
8703	9	8704	1
10572	9	8275	52
6483	5	6484	53
8527	9	10446	64
8798	9	8736	20
5575	7	7496	55
2914	1	4221	63
9719	9	9720	58
9316	9	9317	19
6638	5	6639	19
9297	9	10534	5
8235	9	8236	41
3722	4	1586	37
2254	9	9879	49
1412	0	1413	20
1877	4	2709	68
7918	9	7996	32
1643	4	2193	41
6053	9	8592	36
40	4	6028	20
7051	5	7052	44
2868	0	1292	14
234	5	6450	1
8021	9	9965	37
646	9	9536	65
2011	4	5995	25
5915	4	6012	22
6181	5	7107	6
238	9	10439	67
8396	9	8397	34
10153	9	8835	50
10064	9	10065	13
1128	3	5753	12
3988	1	3950	36
9588	9	9589	20
3511	1	3815	39
406	7	2086	38
2035	4	3691	63
8393	9	8394	8
7552	9	7999	0
6498	5	6715	61
1054	9	7900	24
1414	9	10285	49
2254	9	8649	39
5995	7	79	63
2909	3	5858	60
7872	9	7873	6
9935	9	9936	1
3936	1	4012	48
10412	9	10413	69
9545	9	9546	67
2886	4	2416	49
3023	9	10314	54
1096	4	3547	27
3966	1	3976	40
5851	9	7914	39
6735	5	6522	12
1502	9	10611	65
9629	9	9630	41
2593	9	8191	15
7994	9	7995	10
3449	0	28	23
8494	9	8839	66
3295	9	10557	38
4065	1	4066	57
9443	9	9444	71
1991	8	7654	64
4148	1	4149	35
8231	9	8232	52
10546	9	10547	8
969	4	6163	19
7303	5	6684	50
4104	1	4037	26
8224	9	8225	56
6045	4	1256	29
9579	9	8405	66
864	0	139	30
4092	1	4112	70
5741	3	5179	60
1529	5	7165	7
9355	9	9356	24
2263	3	5594	32
9585	9	9424	54
273	5	6712	26
6674	5	6675	4
815	0	196	3
6415	5	7244	71
3232	4	445	43
164	4	1230	21
6855	5	6856	0
9521	9	9522	1
2652	9	8895	18
2377	7	667	24
7137	5	7138	0
6606	5	6607	62
3653	4	3211	26
6676	5	7415	0
6851	5	6852	47
4077	1	4087	43
5900	3	5307	62
10227	9	10090	65
8427	9	8428	16
2302	0	705	33
8304	9	8600	69
8311	9	8312	2
2855	0	1538	44
579	8	7677	12
10011	9	10012	34
1930	9	7924	35
8963	9	8964	42
7229	5	6559	52
